query_index,col,query,model,temperature,top_p,answer_text_raw,token_count_in,token_count_out,token_count_total,char_count,word_count,n_citations_found,timestamp
1,NPC,abortion by state,gpt-4o,0.0,1.0,"As of March 2026, abortion laws in the United States vary significantly by state, reflecting a complex and evolving legal landscape. Here's an overview of the current status:

**States with Constitutional Protections for Abortion:**

Several states have enshrined the right to abortion within their state constitutions, either explicitly or through judicial interpretation. These include:

- **Alaska**: Court decision.
- **Arizona**: Constitutional amendment.
- **California**: Constitutional amendment and statute.
- **Colorado**: Constitutional amendment and statute.
- **Illinois**: State statute.
- **Kansas**: Court decision.
- **Maryland**: Constitutional amendment.
- **Michigan**: Constitutional amendment.
- **Minnesota**: State statute and court decision.
- **Missouri**: Constitutional amendment.
- **Montana**: Constitutional amendment and court decision.
- **New York**: Constitutional amendment and statute.
- **Ohio**: Constitutional amendment.
- **Vermont**: Constitutional amendment.
- **Wyoming**: Court decision.

([nrlc.org](https://www.nrlc.org/uploads/communications/statusofabortion2025.pdf?utm_source=openai))

**States with Abortion Bans or Severe Restrictions:**

Conversely, several states have implemented strict abortion bans or significant restrictions:

- **Alabama**: Abortion is banned from conception.
- **Arkansas**: Abortion is banned from conception.
- **Idaho**: Abortion is banned from conception.
- **Kentucky**: Abortion is banned from conception.
- **Louisiana**: Abortion is banned from conception.
- **Mississippi**: Abortion is banned from conception.
- **Missouri**: Abortion is banned from conception.
- **North Dakota**: Abortion is banned from conception.
- **Oklahoma**: Abortion is banned from conception.
- **South Dakota**: Abortion is banned from conception.
- **Tennessee**: Abortion is banned from conception.
- **Texas**: Abortion is banned from conception.
- **West Virginia**: Abortion is banned from conception.

([govfacts.org](https://govfacts.org/health-healthcare/reproductive-health/abortion-access-laws/the-unexpected-impacts-of-state-level-abortion-bans/?utm_source=openai))

**States with Gestational Limits:**

Other states permit abortion up to specific points in pregnancy:

- **Florida**: Abortion is legal up to six weeks post-fertilization.
- **Georgia**: Abortion is legal up to six weeks post-fertilization.
- **North Carolina**: Abortion is legal up to 12 weeks.
- **Utah**: Abortion is legal up to 18 weeks.
- **Virginia**: Abortion is legal up to 25 weeks.

([govfacts.org](https://govfacts.org/health-healthcare/reproductive-health/abortion-access-laws/the-unexpected-impacts-of-state-level-abortion-bans/?utm_source=openai))

**Recent Developments:**

- **Michigan**: Between March 2024 and December 2025, the state experienced a 12% decrease in the number of clinics providing abortions, partly due to federal funding restrictions. ([axios.com](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai))

- **South Carolina**: In May 2025, the state Supreme Court upheld a six-week abortion ban, clarifying the definition of ""heartbeat"" in the law. ([apnews.com](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai))

- **Wyoming**: In November 2024, a judge struck down the state's comprehensive abortion ban and its explicit ban on abortion pills, citing violations of the state constitution's guarantee of individual healthcare decisions. ([apnews.com](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai))

- **Idaho**: In April 2023, the state enacted a law criminalizing assistance to minors seeking out-of-state abortions without parental consent, with penalties of up to five years in prison. ([time.com](https://time.com/6269586/idaho-abortion-law-minor-access/?utm_source=openai))

**Upcoming Ballot Measures:**

- **Missouri**: In November 2026, voters will decide on Amendment 3, which seeks to ban abortion with limited exceptions and prohibit gender-affirming medical care for minors. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Missouri_Amendment_3?utm_source=openai))

- **Virginia**: A proposed constitutional amendment on the November 2026 ballot aims to enshrine the right to reproductive freedom, including abortion, in the state constitution. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment?utm_source=openai))

- **Nevada**: Voters will consider Question 6 in November 2026, which, if passed, would enshrine the right to abortion up to fetal viability in the state constitution. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Nevada_Question_6?utm_source=openai))

Given the dynamic nature of abortion legislation, it's crucial to consult current state laws and official resources for the most up-to-date information.


## Highlights:
- [Michigan abortion clinics drop 12% over two years](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai), Published on Thursday, March 05
- [South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai), Published on Wednesday, May 14
- [Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai), Published on Monday, November 18 ",305,1351,1656,5539,581,13,2026-03-05T17:55:02.314484
2,NPC,v,gpt-4o,0.0,1.0,Hello! How can I assist you today?,302,11,313,34,7,0,2026-03-05T17:55:02.784361
3,NPC,How many states is abortion illegal,gpt-4o,0.0,1.0,"As of March 2026, abortion is illegal in 13 U.S. states, with varying exceptions:

- **Alabama**: Illegal, with exceptions only to save the life of the pregnant woman.
- **Arkansas**: Illegal, except to save the life of the pregnant woman; no exceptions for rape, incest, or fatal fetal abnormalities.
- **Idaho**: Illegal, with exceptions to save the life of the pregnant woman.
- **Indiana**: Illegal, with exceptions for fatal fetal abnormalities, to preserve the life and physical health of the pregnant woman, or (before 10 weeks post-fertilization) in cases of rape or incest.
- **Kentucky**: Illegal, with exceptions only to save the life of the pregnant woman.
- **Louisiana**: Illegal, with exceptions only to save the life of the pregnant woman.
- **Mississippi**: Illegal, with exceptions when the pregnant woman's life is in danger, as well as in cases of rape; no exceptions for fatal fetal abnormalities.
- **Missouri**: Illegal, with exceptions only to save the life of the pregnant woman.
- **North Dakota**: Illegal, with exceptions to save the life of the pregnant woman, or, until 6 weeks into a pregnancy, in cases of rape or incest.
- **Oklahoma**: Illegal, unless necessary to save the life of the pregnant individual.
- **South Dakota**: Illegal, with exceptions only to save the life of the pregnant woman.
- **Tennessee**: Illegal, with exceptions only to save the life of the pregnant woman.
- **Texas**: Illegal, except when necessary to save the pregnant woman's life; no exceptions for rape, incest, or fatal fetal abnormalities.

Additionally, four states have implemented bans after approximately six weeks of pregnancy:

- **Georgia**: Illegal after detection of embryonic cardiac-cell activity, typically around six weeks.
- **Iowa**: Illegal after six weeks, with exceptions for rape, incest, fetal abnormalities, and the pregnant woman's life.
- **South Carolina**: Illegal after detection of a ""fetal heartbeat,"" up to five or six weeks from the last menstrual period.
- **Florida**: Illegal after six weeks, with exceptions for rape, incest, and the life of the pregnant woman.

It's important to note that abortion laws are subject to change due to ongoing legal challenges and legislative actions. For the most current information, consult official state resources or legal experts.

([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_law_in_the_United_States_by_state?utm_source=openai)) ",307,554,861,2436,365,1,2026-03-05T17:55:22.057032
4,NPC,different state laws of abortion,gpt-4o,0.0,1.0,"As of March 2026, abortion laws in the United States vary significantly across states, reflecting a complex legal landscape shaped by recent legislative actions, court decisions, and ballot measures. Here's an overview of the current status:

**States with Constitutional Protections for Abortion Rights:**

- **Arizona:** In November 2024, Arizona voters approved a constitutional amendment safeguarding the right to abortion up to fetal viability. However, existing restrictions, such as mandatory counseling and waiting periods, remain in effect and are subject to ongoing legal challenges. ([kff.org](https://www.kff.org/womens-health-policy/a-continuing-saga-ending-abortion-restrictions-in-states-with-constitutional-protections/?utm_source=openai))

- **Michigan:** A 2022 constitutional amendment enshrined reproductive freedom, including abortion rights, into Michigan's constitution. Despite this protection, the state has experienced a 12% decline in abortion clinics between March 2024 and December 2025, partly due to federal funding restrictions. ([axios.com](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai))

- **Ohio:** In November 2023, Ohio amended its constitution to protect reproductive decisions, including abortion care. While the amendment prohibits state interference without a compelling interest, certain restrictions like waiting periods and counseling requirements are still in place, pending legal review. ([kff.org](https://www.kff.org/womens-health-policy/a-continuing-saga-ending-abortion-restrictions-in-states-with-constitutional-protections/?utm_source=openai))

**States with Pending Ballot Measures:**

- **Missouri:** Scheduled for November 2026, Missouri's Amendment 3 seeks to ban abortion with limited exceptions and prohibit gender transition procedures for minors. This measure aims to repeal a 2024 amendment that protected reproductive healthcare rights. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Missouri_Amendment_3?utm_source=openai))

- **Virginia:** Voters will decide on the Right to Reproductive Freedom Amendment in November 2026. If passed, it would establish a fundamental right to reproductive freedom, including abortion, with provisions allowing regulation in the third trimester under specific conditions. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment?utm_source=openai))

- **Nevada:** The Right to Abortion Initiative, appearing on the November 2026 ballot, aims to enshrine the right to abortion up to fetal viability in the state constitution. This follows initial approval in 2024, as Nevada requires amendments to pass in two consecutive elections. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Nevada_Question_6?utm_source=openai))

**States with Recent Legislative Actions:**

- **Texas:** House Bill 7, enacted in December 2025, prohibits the manufacture and distribution of abortion-inducing drugs in Texas, allowing private citizens to sue violators. This law also targets out-of-state entities providing such medications to Texas residents. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Texas_House_Bill_7?utm_source=openai))

- **Wyoming:** In January 2026, the Wyoming Supreme Court ruled that abortion restrictions violated the state constitution, affirming that decisions about pregnancy termination are protected under Article 1, Section 38. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai))

**States with Judicial Developments:**

- **Georgia:** In November 2024, a state judge struck down Georgia's six-week abortion ban, restoring access up to approximately 20 weeks of pregnancy. The ruling emphasized the state constitution's protection of a woman's right to control her healthcare decisions. ([apnews.com](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai))

- **South Carolina:** In May 2025, the state Supreme Court upheld a six-week abortion ban, clarifying the definition of ""heartbeat"" and affirming legislative intent to restrict abortions at this stage. ([apnews.com](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai))

**Federal Legislative Proposals:**

- **Parental Involvement in Abortion Decisions:** In January 2026, Senate Bill 3650 was introduced to prohibit transporting minors across state lines to circumvent parental involvement laws in abortion decisions. The bill is currently under committee review. ([congress.gov](https://www.congress.gov/bill/119th-congress/senate-bill/3650/titles?utm_source=openai))

**States Considering Criminalization of Abortion Seekers:**

- In 2025, legislators in at least ten states, including Georgia, Idaho, Indiana, Iowa, Kentucky, Missouri, North Dakota, Oklahoma, South Carolina, and Texas, introduced bills aiming to classify embryos or fetuses as potential homicide victims. These measures could lead to criminal charges against individuals seeking abortions, reflecting a growing movement to further restrict abortion access. ([time.com](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai))

**States with Unrestricted Abortion Access:**

- Several states, including Alaska, Colorado, New Jersey, New Mexico, Oregon, Vermont, and Washington, D.C., do not impose bans or limits on abortion based on gestational age. These jurisdictions also lack mandated counseling, waiting periods, or ultrasound requirements, ensuring broader access to abortion services. ([healthline.com](https://www.healthline.com/health-news/biden-announces-new-plan-to-expand-abortion-access-what-to-know?utm_source=openai))

This overview highlights the diverse and evolving nature of abortion laws across the United States, underscoring the importance of staying informed about state-specific regulations and ongoing legal developments.


## Highlights:
- [Michigan abortion clinics drop 12% over two years](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai), Published on Thursday, March 05
- [Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai), Published on Monday, September 30
- [South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai), Published on Wednesday, May 14 ",306,1458,1764,6576,678,16,2026-03-05T17:55:45.181366
5,NPC,how many states have outlawed abortion,gpt-4o,0.0,1.0,"As of March 5, 2026, abortion laws in the United States vary significantly by state. Approximately 13 states have enacted near-total abortion bans, prohibiting the procedure in nearly all circumstances. These states include Alabama, Arkansas, Idaho, Indiana, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, South Dakota, Tennessee, Texas, and West Virginia. ([theguardian.com](https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai))

In addition to these, four states—Georgia, South Carolina, Florida, and Iowa—have implemented bans on abortion after approximately six weeks of pregnancy. ([theguardian.com](https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai))

It's important to note that legal challenges and court decisions continue to influence abortion laws. For instance, in July 2025, the Wisconsin Supreme Court struck down the state's 176-year-old abortion ban, ruling that it was superseded by more recent laws permitting abortions until viability. ([apnews.com](https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai))

Given the dynamic nature of abortion legislation, it's advisable to consult current legal resources or official state publications for the most up-to-date information.


## Highlights:
- [Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai), Published on Monday, November 18
- [Wisconsin Supreme Court's liberal majority strikes down 176-year-old abortion ban](https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai), Published on Wednesday, July 02
- [Some States Consider Bills That Would Punish People Seeking Abortions](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai), Published on Tuesday, March 18 ",308,477,785,1959,195,6,2026-03-05T17:55:52.451971
6,NPC,how many states banned abortion,gpt-4o,0.0,1.0,"As of March 2026, abortion is completely banned in 14 U.S. states: Alabama, Arkansas, Idaho, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Dakota, Oklahoma, South Dakota, Tennessee, Texas, and West Virginia. ([amnestyusa.org](https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai))

Additionally, several states have implemented gestational limits on abortion:

- **6-week bans**: Florida, Georgia, Iowa, and South Carolina.

- **12-week bans**: Nebraska and North Carolina.

- **15-week ban**: Arizona.

- **18-week ban**: Utah.

These restrictions have significantly impacted access to abortion services across the country.


## Highlights:
- [Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai), Published on Monday, September 30
- [Arizona can enforce an 1864 law criminalizing nearly all abortions, court says](https://apnews.com/article/9c68866d69dca38c728dd27b80592e8f?utm_source=openai), Published on Tuesday, April 09
- [Some States Consider Bills That Would Punish People Seeking Abortions](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai), Published on Tuesday, March 18 ",306,354,660,1326,134,4,2026-03-05T17:56:00.046083
7,NPC,states that have outlawed abortion,gpt-4o,0.0,1.0,"As of March 2026, abortion laws in the United States vary significantly by state. Several states have enacted near-total bans on abortion, while others have implemented restrictions based on gestational age. Below is an overview of states with the most restrictive abortion laws:

**States with Near-Total Abortion Bans:**

- **Alabama:** Abortion is illegal except when necessary to prevent a serious health risk to the mother.

- **Arkansas:** Abortion is banned with exceptions only to save the life of the mother.

- **Idaho:** Abortion is prohibited, with exceptions for rape, incest, or to prevent the death of the mother. Additionally, Idaho has criminalized assisting minors in obtaining out-of-state abortions without parental consent, imposing penalties of up to five years in prison. ([time.com](https://time.com/6269586/idaho-abortion-law-minor-access/?utm_source=openai))

- **Indiana:** A near-total abortion ban is in effect, with exceptions for serious health risks to the mother or lethal fetal anomalies up to 20 weeks gestation. ([axios.com](https://www.axios.com/local/indianapolis/2023/11/16/indiana-abortion-ban-zero-procedures?utm_source=openai))

- **Mississippi:** Abortion is illegal, with exceptions only in cases of rape or to preserve the mother's life. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Mississippi?utm_source=openai))

- **Missouri:** Abortion is banned except in cases of medical emergencies.

- **Oklahoma:** Abortion is prohibited, with exceptions only to save the life of the mother.

- **South Dakota:** Abortion is illegal, with exceptions only to save the life of the mother.

- **Tennessee:** Abortion is banned, with exceptions only to prevent death or serious and permanent injury to the patient.

- **Texas:** Abortion is prohibited, with exceptions only to save the life of the mother.

- **West Virginia:** Abortion is banned, with exceptions for medical emergencies, rape, or incest.

**States with Gestational Limits:**

- **Florida:** The Heartbeat Protection Act, signed into law in April 2023, criminalizes abortion after six weeks of gestation. The law took effect on May 1, 2024. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Heartbeat_Protection_Act?utm_source=openai))

- **Nebraska:** In May 2023, Nebraska enacted a law banning abortion after 12 weeks of pregnancy, with exceptions for rape, incest, and medical emergencies. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2024_Nebraska_Initiative_434?utm_source=openai))

- **North Carolina:** In July 2023, North Carolina implemented a 12-week abortion ban, reducing the previous limit from 20 weeks. ([goodmorningamerica.com](https://www.goodmorningamerica.com/news/story/abortion-stands-state-year-overturning-roe-wade-100229092?utm_source=openai))

- **South Carolina:** As of August 2023, abortion is illegal after detection of a fetal heartbeat, typically around six weeks of pregnancy. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_South_Carolina?utm_source=openai))

**States with Legal Challenges and Changes:**

- **Wisconsin:** On July 2, 2025, the Wisconsin Supreme Court struck down the state's 1849 abortion ban, ruling that more recent laws permitting abortions until viability supersede the older statute. ([apnews.com](https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai))

- **Wyoming:** On November 18, 2024, a Wyoming judge struck down the state's comprehensive abortion ban and its explicit ban on abortion pills, citing violations of the state constitution's guarantee of individual healthcare decisions. ([apnews.com](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai))

Please note that abortion laws are subject to change due to ongoing legal challenges and legislative actions. For the most current information, consult official state resources or legal experts. ",307,913,1220,3899,460,9,2026-03-05T17:56:09.452049
8,NPC,states that have outlawed abortion,gpt-4o,0.0,1.0,"As of March 5, 2026, several U.S. states have enacted laws that significantly restrict or completely ban abortion. The legal landscape is continually evolving due to ongoing legislative actions and court rulings. Below is an overview of states with notable abortion restrictions:

**States with Near-Total Abortion Bans:**

- **Alabama:** Abortion is banned at all stages of pregnancy, with exceptions only if the patient's life or health is at serious risk. There are no exceptions for cases of rape or incest. Violations can result in severe legal penalties, including lengthy prison sentences. ([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))

- **Arkansas:** All abortions are prohibited except when necessary to save the life of the patient. There are no exceptions for rape or incest. Medical professionals performing abortions face significant fines and imprisonment. ([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))

- **Idaho:** Abortion is banned at all stages, with exceptions for rape, incest, or to save the life of the patient. However, in cases of rape or incest, a police report must be filed and provided to the physician. ([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))

- **Kentucky:** A near-total abortion ban is in effect, with exceptions only when the patient's life or physical health is at risk. There are no exceptions for rape or incest. ([healthline.com](https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai))

- **Louisiana:** Abortion is banned except to prevent death or serious risk to the patient's health, or if the fetus has a lethal anomaly. There are no exceptions for rape or incest. ([healthline.com](https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai))

- **Mississippi:** Abortion is illegal, with exceptions only to save the life of the patient or in cases of rape. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Mississippi?utm_source=openai))

- **Missouri:** A near-total ban is in place, with exceptions only to save the life or health of the patient. There are no exceptions for rape or incest. ([healthline.com](https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai))

- **North Dakota:** Abortion is banned, with exceptions for rape, incest, or to save the life of the patient. ([advocate.com](https://www.advocate.com/news/2022/6/24/states-banning-abortion-now-scotus-has-ruled?utm_source=openai))

- **Oklahoma:** Abortion is illegal unless necessary to save the life of the patient. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Oklahoma?utm_source=openai))

- **South Dakota:** A near-total ban is in effect, with exceptions only to save the life of the patient. ([worldpopulationreview.com](https://worldpopulationreview.com/state-rankings/abortion-laws-by-state?utm_source=openai))

- **Tennessee:** Abortion is banned from fertilization, with exceptions only to prevent death or serious risk to the patient's health. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Tennessee?utm_source=openai))

- **Texas:** Abortion is almost completely banned, with exceptions only in cases of life-threatening emergencies for the patient. ([abc7chicago.com](https://abc7chicago.com/abortion-ban-map-where-banned-restricted-protected/13299140/?utm_source=openai))

- **West Virginia:** A near-total ban is in effect, with exceptions for ectopic pregnancies and other specific medical conditions. ([abc7chicago.com](https://abc7chicago.com/abortion-ban-map-where-banned-restricted-protected/13299140/?utm_source=openai))

**States with Significant Abortion Restrictions:**

- **Georgia:** Abortion is illegal after detection of embryonic cardiac-cell activity, typically around the fifth or sixth week of pregnancy. This law remains in effect while the state appeals a 2024 ruling that deemed it unconstitutional. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Georgia_%28U.S._state%29?utm_source=openai))

- **Nebraska:** In November 2024, voters approved Initiative 434, amending the state constitution to ban elective abortions in the second and third trimesters, with exceptions for rape, incest, and medical emergencies. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2024_Nebraska_Initiative_434?utm_source=openai))

- **South Carolina:** The state's ban on abortion after roughly six weeks of pregnancy was upheld by the state Supreme Court and went into effect on August 23, 2023. ([weaa.org](https://www.weaa.org/2022-06-24/heres-where-abortions-are-now-banned-or-severely-restricted?utm_source=openai))

**States with Legal Challenges and Changes:**

- **Arizona:** In February 2026, a judge struck down several outdated abortion restrictions that conflicted with a 2024 voter-approved constitutional amendment guaranteeing abortion rights. ([apnews.com](https://apnews.com/article/fe9f9fc7ccac8716a956cc74239e0a81?utm_source=openai))

- **Wyoming:** On January 6, 2026, the Wyoming Supreme Court ruled abortion restrictions unconstitutional under the state constitution, affirming that the decision to terminate a pregnancy is a woman's own healthcare decision. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai))

Please note that abortion laws are subject to change due to ongoing legal and legislative developments. For the most current information, consult official state resources or legal experts. ",307,1390,1697,5893,591,18,2026-03-05T17:56:29.206017
9,NPC,Which States outlawed abortion.,gpt-4o,0.0,1.0,"As of March 2026, abortion laws in the United States vary significantly by state, with some states implementing total bans and others imposing gestational limits. Here's an overview:

**States with Total Abortion Bans:**

- **Alabama**
- **Arkansas**
- **Idaho**
- **Indiana**
- **Kentucky**
- **Louisiana**
- **Mississippi**
- **Missouri**
- **North Dakota**
- **Oklahoma**
- **South Dakota**
- **Tennessee**
- **Texas**
- **West Virginia**

In these states, abortion is prohibited at all stages of pregnancy, with limited exceptions such as cases involving rape, incest, or threats to the life of the pregnant individual. ([aamc.org](https://www.aamc.org/about-us/mission-areas/clinical-care/post-dobbs-2024?utm_source=openai))

**States with Gestational Limits:**

- **6-Week Bans:**
  - **Florida**
  - **Georgia**
  - **South Carolina**

- **12-Week Bans:**
  - **Nebraska**
  - **North Carolina**

- **15-Week Ban:**
  - **Arizona**

- **18-Week Ban:**
  - **Utah**

- **20-Week Ban:**
  - **Wisconsin**

- **22-Week Ban:**
  - **Ohio**

- **24-Week Bans:**
  - **Massachusetts**
  - **Nevada**
  - **Pennsylvania**

These states allow abortions up to the specified gestational limit, after which the procedure is generally prohibited, with certain exceptions. ([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))

**States with Legal Abortion Until Fetal Viability:**

- **California**
- **Connecticut**
- **Delaware**
- **Hawaii**
- **Illinois**
- **Maine**
- **Maryland**
- **Michigan**
- **Minnesota**
- **Montana**
- **New York**
- **Rhode Island**
- **Washington**
- **Wyoming**

In these states, abortion is permitted until the fetus reaches viability, typically around 24 weeks of gestation. ([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))

**States with No Gestational Limits:**

- **Alaska**
- **Colorado**
- **New Jersey**
- **New Mexico**
- **Oregon**
- **Vermont**

These states do not impose gestational limits on abortion, allowing the procedure at any stage of pregnancy. ([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))

**Recent Legal Developments:**

- **Georgia:** In September 2024, a judge struck down the state's six-week abortion ban, restoring access to abortions up to approximately 20 weeks of pregnancy. ([apnews.com](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai))

- **South Carolina:** In May 2025, the state Supreme Court upheld a six-week abortion ban, clarifying the definition of ""heartbeat"" in the law. ([apnews.com](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai))

- **Wyoming:** In January 2026, the Wyoming Supreme Court ruled that abortion restrictions were unconstitutional under the state constitution, affirming that decisions about pregnancy are protected as personal healthcare choices. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai))

Please note that abortion laws are subject to change due to ongoing legal challenges and legislative actions. For the most current information, consult official state resources or legal experts.


## Highlights:
- [Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai), Published on Monday, September 30
- [South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai), Published on Wednesday, May 14
- [Abortions in Florida plunged more than in any other state in 2024, new data shows](https://www.axios.com/local/tampa-bay/2025/04/15/florida-abortion-data-2024?utm_source=openai), Published on Tuesday, April 15 ",307,1061,1368,4016,433,10,2026-03-05T17:56:38.326370
10,NPC,s,gpt-4o,0.0,1.0,It looks like your message might have been cut off. Could you provide more details or let me know how I can assist you?,302,28,330,119,24,0,2026-03-05T17:56:39.319989
