query_index,query,citation_id,title,url,registrable_domain,start_index,end_index,cited_text
1,abortion by state,1,"THE 
STATUS
OF
ABORTION
IN THE UNITED STATES
2025",https://www.nrlc.org/uploads/communications/statusofabortion2025.pdf?utm_source=openai,nrlc.org,1034,1134,([nrlc.org](https://www.nrlc.org/uploads/communications/statusofabortion2025.pdf?utm_source=openai))
1,abortion by state,2,The Post-Roe Divide: How State Lines Now Determine Reproductive Freedom | GovFacts,https://govfacts.org/health-healthcare/reproductive-health/abortion-access-laws/the-unexpected-impacts-of-state-level-abortion-bans/?utm_source=openai,govfacts.org,1974,2142,([govfacts.org](https://govfacts.org/health-healthcare/reproductive-health/abortion-access-laws/the-unexpected-impacts-of-state-level-abortion-bans/?utm_source=openai))
1,abortion by state,3,The Post-Roe Divide: How State Lines Now Determine Reproductive Freedom | GovFacts,https://govfacts.org/health-healthcare/reproductive-health/abortion-access-laws/the-unexpected-impacts-of-state-level-abortion-bans/?utm_source=openai,govfacts.org,2538,2706,([govfacts.org](https://govfacts.org/health-healthcare/reproductive-health/abortion-access-laws/the-unexpected-impacts-of-state-level-abortion-bans/?utm_source=openai))
1,abortion by state,4,Michigan abortion clinics drop 12% over two years,https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai,axios.com,2915,3043,([axios.com](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai))
1,abortion by state,5,South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban,https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai,apnews.com,3189,3282,([apnews.com](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai))
1,abortion by state,6,"Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy",https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai,apnews.com,3508,3601,([apnews.com](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai))
1,abortion by state,7,Idaho's New Law Will Punish Anyone Helping a Minor Access an Out-of-State Abortion With Up to 5 Years in Prison,https://time.com/6269586/idaho-abortion-law-minor-access/?utm_source=openai,time.com,3793,3882,([time.com](https://time.com/6269586/idaho-abortion-law-minor-access/?utm_source=openai))
1,abortion by state,8,2026 Missouri Amendment 3,https://en.wikipedia.org/wiki/2026_Missouri_Amendment_3?utm_source=openai,en.wikipedia.org,4091,4186,([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Missouri_Amendment_3?utm_source=openai))
1,abortion by state,9,2026 Virginia Right to Reproductive Freedom Amendment,https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment?utm_source=openai,en.wikipedia.org,4367,4490,([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment?utm_source=openai))
1,abortion by state,10,2026 Nevada Question 6,https://en.wikipedia.org/wiki/2026_Nevada_Question_6?utm_source=openai,en.wikipedia.org,4660,4752,([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Nevada_Question_6?utm_source=openai))
1,abortion by state,11,Michigan abortion clinics drop 12% over two years,https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai,axios.com,4926,5092,[Michigan abortion clinics drop 12% over two years](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai)
1,abortion by state,12,South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban,https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai,apnews.com,5128,5295,[South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai)
1,abortion by state,13,"Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy",https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai,apnews.com,5330,5504,"[Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai)"
